EMAIL,VERIFICAR_EMAIL_CODIGO,RESETEAR_CONTRASENA_CODIGO,ID_DIRECCION_ENVIO,ID_PRODUCTO_PARA_CARRITO
pfunc1@gmail.com,F5A60X,CC4WH2,10,10
pfunc2@gmail.com,4GA2V6,6FR5J4,11,11
pfunc3@gmail.com,7XHSJD,B41AD6,12,12
pfunc4@gmail.com,C5A7B6,SW658F,13,13
pfunc5@gmail.com,H0XG44,6153RB,14,14
pfunc6@gmail.com,U7C363,M5HJ1U,15,15
pfunc7@gmail.com,D5S8D4,B4NJU0,16,16
pfunc8@gmail.com,F5S2X0,89DFGF,17,17
pfunc9@gmail.com,X4SXX5,GTGW7E,18,18
pfunc10@gmail.com,A5XD4A,BG489A,19,19
pfunc11@gmail.com,65DS4A,61RYJ6,20,20
pfunc12@gmail.com,6S5X1S,D8HN65,21,21
